Sample,Haplotype,SNPDistance,Titer
AC-B11,H57,25.04,9.01787877833602
AC-B2,H57,25.04,6.90822620807762
AC-B4,H57,25.04,9.63665580998242
AC-B6,H57,25.04,8.41000229051382
AC-B8,H57,25.04,9.20495126177223
AC-B9,H57,25.04,9.89200411958227
AC-C11,H57,25.04,9.20401734369954
AC-C4,H57,25.04,9.08194744053274
AC-C8,H57,25.04,10.0594250429233
AC-C9,H57,25.04,9.59124041435953
AC-D1,H57,25.04,7.70510389022037
AC-D11,H57,25.04,8.20589635228942
AC-D3,H57,25.04,9.84338803642131
AC-D4,H57,25.04,9.25640668697723
AC-D5,H57,25.04,9.26778160748498
AC-D7,H57,25.04,10.5393906891194
AC-D8,H57,25.04,9.92647878787299
AC-D9,H57,25.04,11.0021016328693
AC-E10,H57,25.04,8.32548036880713
AC-E11,H57,25.04,7.41827496595424
AC-E12,H57,25.04,6.05208715715769
AC-E2,H57,25.04,7.46524672638888
AC-E4,H57,25.04,8.50841778391023
AC-E5,H57,25.04,7.79530133272576
AC-E6,H57,25.04,7.92108182816414
AC-E7,H57,25.04,10.2296348874756
AC-E8,H57,25.04,7.62434820487255
AC-F4,H57,25.04,7.25289489511341
AC-F5,H57,25.04,7.0024668069029
AC-F8,H57,25.04,8.04754548282323
AC-G1,H57,25.04,7.75605678554798
AC-G10,H57,25.04,8.44531067033904
AC-G11,H57,25.04,6.44326267609588
AC-G12,H57,25.04,6.04271299674002
AC-G3,H57,25.04,7.55413768538484
AC-G9,H57,25.04,9.58025132222769
AC-H2,H57,25.04,9.78946808557441
AC-H3,H57,25.04,10.021247587928
AC-H6,H57,25.04,10.6254710171026
AC-H8,H57,25.04,8.4122084718049
AC-H9,H57,25.04,9.05524899566603
AD-A1,H57,25.04,8.41308172870024
AD-A2,H57,25.04,7.2760177030126
AD-A6,H57,25.04,8.57154599253629
AD-B12,H57,25.04,11.0375007923851
AD-B2,H57,25.04,7.11645351733084
AD-B3,H57,25.04,8.22459823046681
AD-B5,H57,25.04,6.7404707295822
AD-B6,H57,25.04,5.95324308753451
AD-C1,H57,25.04,6.13250440086733
AD-C2,H57,25.04,8.83882112306211
AD-C4,H57,25.04,7.12039061185283
AD-C5,H57,25.04,6.19997659817226
AD-C6,H57,25.04,5.77722277277474
AD-C8,H57,25.04,5.68713998685527
AD-D10,H57,25.04,5.97827811196303
AD-D12,H57,25.04,8.51644628254924
AD-D5,H57,25.04,7.15344979509782
AD-D6,H57,25.04,5.88061039960534
AD-D7,H57,25.04,6.09999193667297
AD-E10,H57,25.04,7.10533032422325
AD-E12,H57,25.04,8.06136088101746
AD-E4,H57,25.04,7.03167141445128
AD-E9,H57,25.04,7.04674468389663
AD-F10,H57,25.04,8.46081105501851
AD-F12,H57,25.04,5.93435980682758
AD-F2,H57,25.04,9.8532987952912
AD-F4,H57,25.04,7.66072082701105
AD-G11,H57,25.04,7.96694145607082
AD-G2,H57,25.04,9.99420166385294
AD-G3,H57,25.04,7.02772827048933
AD-G4,H57,25.04,8.49446021423556
AD-G5,H57,25.04,7.25692103944142
AD-G8,H57,25.04,8.51760404700352
BA-A10,H57,25.04,0
BA-A12,H57,25.04,0
BA-A4,H57,25.04,2.79803784738285
BA-A8,H57,25.04,0
BA-A9,H57,25.04,0
BA-B10,H57,25.04,0
BA-B3,H57,25.04,0
BA-B5,H57,25.04,4.22513617382189
BA-B8,H57,25.04,0
BA-B9,H57,25.04,0
BA-C10,H57,25.04,0
BA-C11,H57,25.04,0
BA-C12,H57,25.04,0
BA-C4,H57,25.04,0
BA-C5,H57,25.04,3.58355404895084
BA-C6,H57,25.04,3.61270434305384
BA-C9,H57,25.04,0
BA-D12,H57,25.04,0
BA-D6,H57,25.04,2.18964800300359
BA-D8,H57,25.04,0
BA-D9,H57,25.04,0
BA-E10,H57,25.04,0
BA-E11,H57,25.04,0
BA-E12,H57,25.04,0
BA-E2,H57,25.04,0
BA-E4,H57,25.04,0
BA-E5,H57,25.04,2.63558982476293
BA-E7,H57,25.04,0
BA-E9,H57,25.04,3.71267861891819
BA-F10,H57,25.04,0
BA-F12,H57,25.04,0
BA-F5,H57,25.04,0
BA-F6,H57,25.04,0
BA-F9,H57,25.04,0
BA-G12,H57,25.04,0
BA-G2,H57,25.04,0
BA-G3,H57,25.04,3.5230284500045
BA-G9,H57,25.04,0
BA-H1,H57,25.04,2.45912548660802
